"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MASF0001","BOSTON 0.5 WSW, MA US","2015-12-09",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,
"US1MASF0001","BOSTON 0.5 WSW, MA US","2015-12-23",,,,,"0.26",,,,,,,,,,,,,,,,,,,,,,,,
"US1MASF0001","BOSTON 0.5 WSW, MA US","2015-12-30",,,,,"0.37",,,"0.5",,,,,,,,,,,,,,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-01","8.05",,," 1207","0.00",,,,,"32","10",,,"  220","  220",,,,"19.9","25.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-02","9.40",,," 1307","0.00",,,,,"40","26",,,"  260","  260",,,,"21.9","28.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-03","4.70",,," 1719","0.66",,,,,"34","17",,,"  100","  100",,,,"13.0","16.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-04","5.82",,," 2350","0.55",,,,,"48","33",,,"  280","  280",,,,"23.9","32.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-05","19.24",,," 1718","0.00",,,,,"45","14",,,"  290","  260",,,,"33.1","47.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-06","4.25",,," 0012","0.00",,,,,"16","4",,,"  270","  280",,,,"16.1","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-07","11.18",,," 1536","0.00",,,,,"23","1",,,"  290","  310",,,,"33.1","42.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-08","10.07",,," 0019","0.00",,,,,"17","-5",,,"  290","  300",,,,"23.0","29.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-09","9.62",,," 1515","0.02",,,,,"28","7",,,"  260","  280",,,,"21.9","30.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-10","6.04",,," 1356","0.00",,,,,"22","1",,,"  300","  280",,,,"18.1","21.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-11","6.04",,," 1308","0.00",,,,,"28","2",,,"  220","  240",,,,"14.1","16.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-12","5.59",,," 0459","0.09",,,,,"36","28",,,"  230","  230",,,,"16.1","21.9",,,,,,,,,
