"Cutoff","Kappa","Set","Iteration","Quantile.97","PCancel","QuantilePCancel"
0.73,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.73,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.72,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.72,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.71,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.71,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.7,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.7,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.69,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.69,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.68,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.68,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.67,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.67,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.66,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.66,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.65,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.65,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.64,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.64,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.63,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.63,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.62,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.62,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.61,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.61,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.6,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.6,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.59,0.0669759600923595,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.59,0.164871676161095,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.58,0.0787896192954373,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.58,0.164871676161095,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.57,0.0787896192954373,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.57,0.164871676161095,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.56,0.0901560674166596,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.56,0.164871676161095,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.55,0.0901560674166596,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.55,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.54,0.0901560674166596,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.54,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.53,0.0901560674166596,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.53,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.52,0.099273447386114,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.52,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.51,0.119550627900887,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.51,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.5,0.119550627900887,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.5,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.49,0.124921188537817,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.49,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.48,0.124921188537817,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.48,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.47,0.13924896874528,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.47,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.46,0.13924896874528,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.46,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.45,0.13924896874528,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.45,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.44,0.161238702275023,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.44,0.194342234086323,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.43,0.168900435732027,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.43,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.42,0.168900435732027,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
